Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
83,Exit short,2025-08-12 10:30,Regime Flat,3.6922,38.37,142.291308,0.48,0.34,3.36,2.36,-0.63,-0.44,42.79,42.79,17
83,Entry short,2025-08-12 02:00,Short,3.7084,38.37,142.291308,0.48,0.34,3.36,2.36,-0.63,-0.44,42.79,42.79,17
84,Exit long,2025-08-13 14:00,Regime Flat,3.8587,36.49,142.759827,-2.1,-1.47,0.88,0.62,-3.6,-2.52,40.69,40.69,19
84,Entry long,2025-08-13 04:30,Long,3.9123,36.49,142.759827,-2.1,-1.47,0.88,0.62,-3.6,-2.52,40.69,40.69,19
85,Exit short,2025-08-15 12:00,Regime Flat,3.8406,37.25,140.652275,-2.55,-1.81,4.69,3.34,-2.54,-1.80,38.14,38.14,20
85,Entry short,2025-08-15 02:00,Short,3.7759,37.25,140.652275,-2.55,-1.81,4.69,3.34,-2.54,-1.80,38.14,38.14,20
86,Exit short,2025-08-19 00:30,Regime Flat,3.5997,38.15,138.13352,0.67,0.48,3.86,2.79,-1.07,-0.78,38.81,38.81,27
86,Entry short,2025-08-18 11:00,Short,3.6208,38.15,138.13352,0.67,0.48,3.86,2.79,-1.07,-0.78,38.81,38.81,27
87,Exit long,2025-08-23 15:30,Regime Flat,3.761,36.85,138.80658,-0.35,-0.25,1.32,0.95,-6.04,-4.35,38.46,38.46,20
87,Entry long,2025-08-23 05:30,Long,3.7668,36.85,138.80658,-0.35,-0.25,1.32,0.95,-6.04,-4.35,38.46,38.46,20
88,Exit short,2025-08-26 10:00,Regime Flat,3.3827,39.92,138.438568,3.26,2.36,6.23,4.50,-1.66,-1.20,41.72,41.72,33
