time,open,high,low,close,Volume
1736398800,4.7986,4.8299,4.7804,4.8271,4314049.1129000001
1736400600,4.827,4.827,4.7793,4.7819,3524930.3283000002
1736402400,4.7819,4.7992,4.7601,4.796,4266335.6875999998
1736404200,4.796,4.8042,4.671,4.6834,17414197.2659999989
1736406000,4.6833,4.7213,4.6502,4.6505,11841933.5427000001
1736407800,4.6506,4.6691,4.6264,4.6372,13356760.2290000003
1736409600,4.6374,4.66,4.6037,4.6117,14537666.9833000004
1736411400,4.6117,4.6785,4.5992,4.6338,17041620.552099999
1736413200,4.6338,4.6672,4.6273,4.6535,6666772.4946999997
1736415000,4.6529,4.6575,4.625,4.6369,6967049.4753999999
1736416800,4.637,4.6444,4.5746,4.5799,8400490.4058999997
1736418600,4.5796,4.6098,4.5518,4.599,12544151.1428999994
1736420400,4.599,4.638,4.5818,4.6076,6022150.6379000004
1736422200,4.6075,4.6151,4.5771,4.6121,6103233.1534000002
1736424000,4.6118,4.6364,4.5883,4.6254,5058016.8740999997
1736425800,4.6256,4.6346,4.5835,4.6013,3759320.804
1736427600,4.6009,4.6105,4.5637,4.5888,5675209.8932999996
1736429400,4.5887,4.5887,4.4957,4.5217,22642538.877700001
1736431200,4.5216,4.6372,4.5062,4.5942,19951969.3020000011
1736433000,4.5946,4.618,4.5345,4.6113,13218035.8929999992
1736434800,4.6111,4.7157,4.5979,4.7083,22881656.2342999987
1736436600,4.7082,4.8052,4.6835,4.7651,28209585.1092999987
1736438400,4.7653,4.8323,4.7559,4.8089,29082656.245099999
1736440200,4.8084,4.8872,4.7843,4.8624,21044386.7855999991
